,text,Sentiment,created_at
21,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
22,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
23,Will poor air quality in Pakistan's urban centres exacerbate mortality due to Covid-19?. #pakistan https://t.co/cXV5mE86IR,negative,04-21
24,RT @pakistaninews: Pakistan to export chloroquine to help ‘friendly countries’ in fight against Covid-19. #pakistan https://t.co/DoYP03aGES,positive,04-21
25,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
26,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
27,"RT @btap2015: Bajaur Forest division providing job opportunities to the corona striken poor people at their doorstep, with full safety prec…",negative,04-21
28,RT @pakistaninews: Pakistan to export chloroquine to help ‘friendly countries’ in fight against Covid-19. #pakistan https://t.co/DoYP03aGES,positive,04-21
29,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
30,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
31,"RT @rifatabdullahh: #COVID-19 
#IRAN

Iran has almost won the war against COVID-19,  USA is sinking, 

#IRAN
Positive case 83505
Recovered…",positive,04-21
32,@alibabakhel True and the pandemic has given a chance to build/strengthen and sustain police-community relationship… https://t.co/YEaRgoMhxr,positive,04-21
33,RT @Pak_foreverIA: Faisal Edhi has been tested positive with COVID-19. PM Imran Khan should go into isolation. 😌 https://t.co/3MKebT1WYd,positive,04-21
34,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
35,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
36,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
37,"Facts of Life and Quotes || Beautiful and Meaningful Words || Each Picture says 1000 words || 
[ Please Subscribe O… https://t.co/6ZfLi349pA",positive,04-21
38,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
39,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
40,I wanna have this once again 😳 best thing it could have been in #Covid_19 https://t.co/ka7oFwYr03,positive,04-21
41,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
42,"RT @Samford_Sports: The New Normal: How Samford Athletics' players, coaches and staff are dealing with COVID-19.

Episode 9: Anna Maddox

#…",positive,04-21
43,"RT @Samford_Sports: The New Normal: How Samford Athletics' players, coaches and staff are dealing with COVID-19.

Episode 9: Anna Maddox

#…",positive,04-21
44,RT @pakistaninews: Pakistan to export chloroquine to help ‘friendly countries’ in fight against Covid-19. #pakistan https://t.co/DoYP03aGES,positive,04-21
45,Pakistan to export chloroquine to help ‘friendly countries’ in fight against Covid-19. #pakistan https://t.co/DoYP03aGES,positive,04-21
46,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
47,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
48,"Bryan Jones, CEO of Crowne Health Care, confirmed over the weekend that 49 residents and 45 employees from the comp… https://t.co/jIFwh2hQcl",positive,04-21
49,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
50,"The increasing ratio of local transmission of Covid-19, which is now close to 70%, augurs ill for the coming weeks.… https://t.co/pDko1XylX7",negative,04-21
51,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
52,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
53,"RT @SEC: ""It's basically like going into a war zone,"" she said. ""You go from 7 PM to 7 AM. You don't stop. You don't sit. It's kinda chaoti…",negative,04-21
54,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
55,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
56,"Bulletin on Novel Corona Virus (COVID-19)

12 NEW POSITIVE CASES REPORTED TODAY, 10 MORE PATIENTS RECOVER IN JK… https://t.co/6kH2UpXox3",positive,04-21
57,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
58,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
59,UAB opens new clinic focused on COVID-19 https://t.co/GWbSTVHYa2 via @bhambizjrnl,positive,04-21
60,It's very sad to see a Newspaper which initiated by father of nation is just playing in the hands of India. From pa… https://t.co/HweMllbY0z,negative,04-21
61,"RT @hasaankhawar: Pooled testing starting in KP. The testing capacity will overnight increase by at least 3-4 times. 

Punjab and Sindh are…",negative,04-21
62,"RT @hasaankhawar: Pooled testing starting in KP. The testing capacity will overnight increase by at least 3-4 times. 

Punjab and Sindh are…",negative,04-21
63,"COVID-19 Control Room releases SOPs for pregnant ladies in Red zones

https://t.co/fImRWO1096… https://t.co/bLTLGDWNVR",positive,04-21
64,"Doctor Among 12 More Test Positive, J&amp;K COVID-19 Tally At 380 https://t.co/esabBSNHRi https://t.co/gKXa7Fw9wQ",positive,04-21
65,Tulip Garden sans visitors due to Covid-19 lockdown https://t.co/yBYv08I1wu https://t.co/PVhEHHpKiq,negative,04-21
66,"My Pakistan right now. In the Total of 9565 cases, In last 24 hrs, 349 positive cases reported with 9 deaths. May A… https://t.co/9MvLmSfKQI",positive,04-21
67,Covid-19 Pandemic: JK Tourism industry on crutches; first uneasy calm and now Covid-19 lockdown… https://t.co/mMTpepcUx3,positive,04-21
68,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
69,RT @veronawazir: No one has ever become poor by giving. Your donations can help so many transgenders from getting out of the psychological…,positive,04-21
70,"Jus for ur Entertainment our great Actor #MuhommadShafiKhan Sir
#Lockdown #Covid-19 
@kansalrohit69
@ZairaWasimmm… https://t.co/RaxLLnIa9H",positive,04-21
71,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
72,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
73,"The New Normal: How Samford Athletics' players, coaches and staff are dealing with COVID-19.

Episode 9: Anna Maddo… https://t.co/H9CW9N3HLF",positive,04-21
74,"The best for #economies to increase the storage capacity, to be benefited. The fall in oil price is expected until… https://t.co/O4b79OKvCi",positive,04-21
75,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
76,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
77,RT @pajhwok: Raz named coordinator for UNGA on Covid-19: By Parwez Karokhil on 21 April 2020 KABUL (Pajhwok): Afghanistan... read more http…,positive,04-21
78,"RT @pajhwok: President Ghani, first lady test negative for coronavirus: By Javed Hamim Kakar on 21 April 2020 KABUL (Pajhwok): COVID-19 tes…",negative,04-21
79,"RT @pajhwok: President, first lady test negative for coronavirus: By Javed Hamim Kakar on 21 April 2020 KABUL (Pajhwok): COVID-19 tests hav…",negative,04-21
80,RT @pajhwok: 66 new Covid-19 cases reported in Afghanistan: By Pajhwok Report on 21 April 2020 KABUL (Pajhwok): Another 66 individuals have…,positive,04-21
81,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
82,"RT @pajhwok: 71 More Taliban prisoners from 7 provinces (Ningarhar, Laghman, Kunar, Nuristan, Faryab, Uruzgan, Baghlan) were released today…",positive,04-21
83,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
84,I think towards the end of this Covid-19 many developed countries will be very hardly stuck. Even developing countr… https://t.co/OE1jxwd7zO,positive,04-21
85,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
86,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
87,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
88,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
89,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
90,Horrible gatherings: Is COVID -19 not pandemic for people thronging banks? via @pzshakir6 https://t.co/JGmp5UddGy,negative,04-21
91,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
92,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
93,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
94,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
95,'All available evidence' suggests COVID-19 had animal origin and wasn't produced in lab — WHO | CBC News https://t.co/RUv6ZvqjYF,positive,04-21
96,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
97,So me and my wife both open the COVID-19 app at the same time. While my phone shows “you are not in safe zone” wher… https://t.co/vl2KH94tVC,positive,04-21
98,How Will Covid-19 Impact the Atlanta Real Estate Market? The Hank Miller Team https://t.co/YYynW643CP https://t.co/SCWTvS592l,positive,04-21
99,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
100,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
101,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
102,"RT @AtharParvaiz: #WeStandWithMasrat 
She has been booked for her ""anti national posts"" on social media. Journalists are being constantly p…",positive,04-21
103,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
104,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
105,"RT @AtharParvaiz: #WeStandWithMasrat 
She has been booked for her ""anti national posts"" on social media. Journalists are being constantly p…",positive,04-21
106,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
107,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
108,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
109,"COVID-19: 12 new +ive cases including 11 from Kashmir, 1 from Kathua take tally to 380 https://t.co/4OhAmaNCLA https://t.co/ShFeKrqhKg",positive,04-21
110,COVID-19: Life remains crippled as lockdown enters 28th straight day https://t.co/iIekGypPBY https://t.co/4olIzidX8D,positive,04-21
111,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
112,"RT @btap2015: Bajaur Forest division providing job opportunities to the corona striken poor people at their doorstep, with full safety prec…",negative,04-21
113,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
114,"RT @btap2015: Bajaur Forest division providing job opportunities to the corona striken poor people at their doorstep, with full safety prec…",negative,04-21
115,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
116,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
117,"RT @Masratzahra: One more elderly patient from north Kashmir who was tested positive for #Covid_19 died at SKIMS Bemina, toll reaches to 5…",positive,04-21
118,"RT @DanyalGilani: Read the titles from left to right. Simply brilliant 👏🏼 
#coronavirus #COVIDー19 #CoronaLockdown #Covid_19 #QuarantineLife…",positive,04-21
119,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
120,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
121,COVID-19 control room releases SOPs for pregnant ladies in red zones https://t.co/rm9xCP37BP https://t.co/nl482K7zKl,positive,04-21
122,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
123,"RT @hasaankhawar: Pakistan doing much better in COVID-19 testing than India, Mexico,  Bangladesh and Indonesia!

Pooled/blocked testing app…",positive,04-21
124,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
125,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
126,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
127,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
128,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
129,"RT @AtharParvaiz: #WeStandWithMasrat 
She has been booked for her ""anti national posts"" on social media. Journalists are being constantly p…",positive,04-21
130,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
131,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
132,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
133,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
134,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
135,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
136,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
137,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
138,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
139,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
140,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
141,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
142,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
143,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
144,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
145,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
146,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
147,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
148,"RT @QasimKhanSuri: Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best National Res…",positive,04-21
149,"Good News for #Pakistan! 

The timely response to deal with #Covid_19 by Pakistan has been declared as best Nationa… https://t.co/KZEW4DiOaz",positive,04-21
150,COVID-19: 40 more persons discharged after completing quarantine https://t.co/kVq0uQVbcX https://t.co/0N7WogL6l7,positive,04-21
151,"RT @AtharParvaiz: #WeStandWithMasrat 
She has been booked for her ""anti national posts"" on social media. Journalists are being constantly p…",positive,04-21
152,"RT @btap2015: Bajaur Forest division providing job opportunities to the corona striken poor people at their doorstep, with full safety prec…",negative,04-21
153,RT @Wajid___Shah: @IftikharFirdous There is no other option left for the administration after observing the attitude of the people towards…,positive,04-21
154,RT @Wajid___Shah: @IftikharFirdous There is no other option left for the administration after observing the attitude of the people towards…,positive,04-21
155,"RT @mb_farhat: World fighting against covid 19,
Indian army fighting against kashmiri's

#Encounter breaks out at shopian right now.
@wanir…",positive,04-21
156,RT @IftikharFirdous: The 'worst' of Covid-19 is yet to come warns World Health Organization  https://t.co/x0WkeJV9tM,negative,04-21
157,@IftikharFirdous There is no other option left for the administration after observing the attitude of the people towards covid-19.,positive,04-21
158,"RT @DanyalGilani: Read the titles from left to right. Simply brilliant 👏🏼 
#coronavirus #COVIDー19 #CoronaLockdown #Covid_19 #QuarantineLife…",positive,04-21
159,"Inhabitants of Dal Lake fearless, and free, of Covid-19 https://t.co/0uAlRxrzUN https://t.co/NGdMEPkSJF",positive,04-21
160,"RT @faik_nazir: #Islamophobia_In_India
Muslims being falsely blamed for spreading COVID-19 in India has resulted in:
-Muslim truck drivers…",negative,04-21
161,"#Islamophobia_In_India
Muslims being falsely blamed for spreading COVID-19 in India has resulted in:
-Muslim truck… https://t.co/ZOjbRZwKHc",negative,04-21
162,"RT @kpk_young: We are very thankful to NGO "" YOUR DONATION SAVES THE NATION"" Especially Dr Komel Zulfiqar 
for donating KITS  to YDAKP team…",positive,04-21
163,RT @IftikharFirdous: A new study by China’s scientists found the ability of the COVID-19 to mutate has been vastly underestimated and diffe…,positive,04-21
164,"RT @RuchiKumar: My latest on India's ministry of alternative medicines (AYUSH) pushing untested medicines to ""cure"" Coronavirus. 

Its mini…",positive,04-21
165,RT @DKashmirimages: COVID-19 Control Room releases SOPs for pregnant ladies in Red zones https://t.co/g5sFwTC7JT https://t.co/RUQJ3ZVs2j,positive,04-21
166,dhara family in Pampore test negative for Covid-19 https://t.co/o5oWoSqAaV,negative,04-21
167,"Pooled testing starting in KP. The testing capacity will overnight increase by at least 3-4 times. 

Punjab and Sin… https://t.co/tXOzc4nQtW",negative,04-21
168,COVID-19 Control Room releases SOPs for pregnant ladies in Red zones https://t.co/g5sFwTC7JT https://t.co/RUQJ3ZVs2j,positive,04-21
169,"RT @dar_owais: *COVID-19*
First doctor in Kashmir tests positive for coronavirus, 3 under surveillance.The 40-year-old doctor, who works at…",positive,04-21
170,Set up control rooms in assemblies for better coordination between states in Covid-19 fight: Lok Sabha Speaker… https://t.co/gknxDR1xE3,positive,04-21
171,RT @SOMIDOGAR: Free Online Course &amp; Certificate at the end. A very good opportunity to learn about Our Prophet PBUH. #Covid_19 #LearnIslam…,positive,04-21
172,RT @FaisalDharma1: @IndiGo6E  My PNR is JQDI4B  My flight is cancelled due to COVID-19 (which was scheduled on 17 April  2020) So as per gu…,negative,04-21
173,"UN calls for ""equitable and fair” access to medicines, vaccines in COVID-19 fight https://t.co/OZXUHzOGau https://t.co/NZKPZwSiCd",positive,04-21
174,"RT @GulfSouth: With the COVID-19 pandemic shutting down sports across the country, GSC SAAC Chair Kristen Pickens (@UUAthletics) has put to…",negative,04-21
175,"Days after meeting Pak PM Imran Khan, man tests COVID-19 positive https://t.co/PA7zU8bCPJ",positive,04-21
176,"What does it mean.
Is COVID 19 spread only through Masjids? https://t.co/oKDkHjcn06",negative,04-21
177,"World fighting against covid 19,
Indian army fighting against kashmiri's

#Encounter breaks out at shopian right no… https://t.co/KuNMiPnFOb",positive,04-21
178,"RT @btap2015: Bajaur Forest division providing job opportunities to the corona striken poor people at their doorstep, with full safety prec…",negative,04-21
179,"RT @AtharParvaiz: #WeStandWithMasrat 
She has been booked for her ""anti national posts"" on social media. Journalists are being constantly p…",positive,04-21
180,@WIRED make #Covid_19 great again,positive,04-21
181,@Channel4News @vsmacdonald make #Covid_19 great again,positive,04-21
182,"RT @AtharParvaiz: #WeStandWithMasrat 
She has been booked for her ""anti national posts"" on social media. Journalists are being constantly p…",positive,04-21
183,"RT @RuchiKumar: My latest on India's ministry of alternative medicines (AYUSH) pushing untested medicines to ""cure"" Coronavirus. 

Its mini…",positive,04-21
184,"RT @DanyalGilani: 3 immediate threats #Covid_19 poses that we need to care about. R we ready?
1- Water Shortage as billions r washing hands…",positive,04-21
185,"RT @kashmirobserver: Covid-19: 12 More Test Postive, J&amp;K Tally At 380 https://t.co/MTEV5VwH1E https://t.co/iSwnEYaWaR",positive,04-21
186,"RT @KhanRaqeeq: Today in the evening, 182 (evacuees from Iran) have reached Srinagar #Kashmir from  Jaisalmer in #Rajasthan  Most of them a…",positive,04-21
187,COVID-19: Pandemic vs Blame Game  https://t.co/ljHHmnHk6W via @KashmirWatch,negative,04-21
188,"A view of Asia’s largest tulip garden  Srinagar. 

For the first time in its more than decade-long history, 1.3 mil… https://t.co/96hWHpfGYY",positive,04-21
189,"RT @btap2015: Bajaur Forest division providing job opportunities to the corona striken poor people at their doorstep, with full safety prec…",negative,04-21
190,"RT @KNOKashmir: COVID-19: Panic grips health workers, doctors at GMC Bla after colleague tests positive | KNO https://t.co/KEaUcFEfnF",positive,04-21
191,"Today in the evening, 182 (evacuees from Iran) have reached Srinagar #Kashmir from  Jaisalmer in #Rajasthan  Most o… https://t.co/Q23G7TCWfA",positive,04-21
192,RT @GreaterKashmir: SKIMS Medical College Bemina starts COVID-19 testing lab | Greater Kashmir https://t.co/7OsSJaZSZo,positive,04-21
193,"RT @GulfSouth: With the COVID-19 pandemic shutting down sports across the country, GSC SAAC Chair Kristen Pickens (@UUAthletics) has put to…",negative,04-21
194,"RT @GulfSouth: With the COVID-19 pandemic shutting down sports across the country, GSC SAAC Chair Kristen Pickens (@UUAthletics) has put to…",negative,04-21
195,"RT @GulfSouth: With the COVID-19 pandemic shutting down sports across the country, GSC SAAC Chair Kristen Pickens (@UUAthletics) has put to…",negative,04-21
196,@MORAisbOfficial Sir I will be very grateful if you convey my request to PM to allow recitation of Al Quran Karim o… https://t.co/6TNWa7QdAP,positive,04-21
197,"With the COVID-19 pandemic shutting down sports across the country, GSC SAAC Chair Kristen Pickens (@UUAthletics) h… https://t.co/LmVQBzD7uZ",negative,04-21
198,"The first human trials for vaccines of COVID-19 begin in the UK on Thursday.
#HopeFromHome #COVIDー19 #JKLive #JammuAndKashmir #jkmedia",positive,04-21
199,"RT @koshur69: Whole world is fighting Covid-19 ,everyone is giving it's best to stop its spread while as india is continuously trying their…",positive,04-21
200,"RT @StateReporter: #JammuKashmir

#COVID19

ICMR directs all states not to use new rapid antibody test for Covid-19 for two days, says it w…",positive,04-21
201,@Ali_MuhammadPTI  I will be very grateful if you convey my request to PM to allow recitation of Al Quran Karim on l… https://t.co/pCTi4LhKHq,positive,04-21
202,Inshallah #Ghotki will be very soon  free form #Covid_19 as like these steps of #DC_Ghotki @khalidvonsaleem https://t.co/7jZvhGxBju,positive,04-21
