,text,Sentiment,created_at
27,"RT @RexBusinessCas: Dr Zach on avoiding back pain if you are #WFH  

#HowTo #FixBackPain #RexBusinessCas  
  
Watch it here https://t.co/bg…",negative,04-27
28,"No doubt, Corona has changed the existing norms, WFO to WFH...which be a will new norm. Productivity has increased… https://t.co/s3BYxzcc9A",negative,04-27
29,Jordan doc leak got me prepping for a tough day of wfh..,negative,04-27
30,"Day 32 plans
* Meditate
* WFH, for myself 👀
* Gym
* Play GTA online 

Let's hope I'm a good boss to myself 😅.",negative,04-27
31,"My boss asked for feed back on WFH home life

Tbh h8 it but I’ve had some great coffee, I will miss that. A lot. So much.",negative,04-27
32,"RT @mukeshpanchal27: Mine was #Twitter 

#WFH #WordPress #100DaysOfCode https://t.co/d4ri85IPdE",negative,04-27
33,"RT @mukeshpanchal27: Mine was #Twitter 

#WFH #WordPress #100DaysOfCode https://t.co/d4ri85IPdE",negative,04-27
34,"Mine was #Twitter 

#WFH #WordPress #100DaysOfCode https://t.co/d4ri85IPdE",negative,04-27
35,RT @nickcrocker: WFA (Work From Anywhere) feels more optimistic and awesome than WFH.,negative,04-27
36,Today’s WFH mood https://t.co/OMO7uwyVLL,negative,04-27
37,"How do enterprises transfer to remote work? Collaboration tools, communication and more advice from @Atlassian and… https://t.co/XNGeQdlVUv",negative,04-27
38,@SriKandaRaj_95 Yepp. Banks still running. Tho we wfh on alternate days,negative,04-27
39,"Feeling unmotivated #WFH ?? I recorded a latin house mix to get your toes tapping! Enjoy :)

https://t.co/T6OBnHgbFS

#HouseMusicAllLifeLong",positive,04-27
40,@OhMyMascara_ Wfh brings so much stress.,positive,04-27
41,"@IndiaToday @rahulkanwal 1. Wfh optn can reduce financial burden frm emlyee, like paying 25000+ rent in metro city… https://t.co/QTYVo5itsu",positive,04-27
42,Day 36 #PandemicFashion rarely are things black and white but my clothing #WFH choices will be all week… https://t.co/0XPAl5yEwj,positive,04-27
43,#Secretlab chair looking awesome and very comfy. Much needed in the WFH environment. https://t.co/N6nn7WvblS,positive,04-27
44,"RT @fun_materials: Congratulations Aram Arash, Md Ataur Rahman, and @shruti_nirantar on recent PhD theses submissions! Always a major achie…",positive,04-27
45,Ready for our next zoom meeting #wfh #covid19australia https://t.co/06dkyL0cfI,positive,04-27
46,"RT @taniadavidge: I wrote a little something about working from home (?) during COVID 19 for @_parlour.

Interesting to see the diversity o…",positive,04-27
47,"@msdanifernandez I have been reading all of the books, and doing a lot more cooking, baking, and cleaning. WFH is c… https://t.co/15uOBafHTv",positive,04-27
48,"@deborah_knight @2GB873 2020 so far: drought, bushfires, flood, Covid-19 (closures, job losses, WFH, social change,… https://t.co/wPZFoUghJT",positive,04-27
49,Spending more hours at your desk #WFH and feeling stiff and sore as a result? Follow @G_Couvalias as she takes you… https://t.co/8F2JHMQ2ft,positive,04-27
50,"@lemmings_ 2-&gt;10 is a big step for an ""easing back"" imo. anyway, we were already locking down/WFH etc when restrict… https://t.co/TDWq1c3qJx",positive,04-27
51,RT @AMPFoundation: Another good news story from #tomorrowmaker @MichaelTozer's @XceptionalTech to start the week. Congrats Aiden - good to…,positive,04-27
52,@lifeisgoodest wfh啊,positive,04-27
53,@hailaurs Wfh é um hino mano kkkkkk Down que nem deveria tá na trajetória delas,positive,04-27
54,RT @becca_leaver: Guardian multimedia chief @fantrails doing WFH in covert comfort. Send us pics of your bizarre / sneaky home office set u…,positive,04-27
55,"Semenjak WFH udah gabisa bedain kapan tanggal merah, selagi grup tiap pagi masih ribut ""present"" berarti masih week… https://t.co/glNj7qgJ1I",positive,04-27
56,RT @AMPFoundation: Another good news story from #tomorrowmaker @MichaelTozer's @XceptionalTech to start the week. Congrats Aiden - good to…,positive,04-27
57,"#WFH @ Pendle Hill, New South Wales, Australia https://t.co/RWoTjkteE5",positive,04-27
58,"RT @taniadavidge: I wrote a little something about working from home (?) during COVID 19 for @_parlour.

Interesting to see the diversity o…",positive,04-27
59,@Pyara_Boy Mostly because of wfh,positive,04-27
60,"So, how many WFH forgot that today is a public holiday?

#FreelancerLife",positive,04-27
61,"@johnSacta @RichardOnlineC1 @Bern1009 @GrogsGamut In other words, workers where it’s impossible to do the job remot… https://t.co/4SQeBqvI97",positive,04-27
62,"RT @drshalinisdiet: Not done. #Covid19India will not even end in July.
We have to start working with physical distancing, masks &amp; all cauti…",positive,04-27
63,"One #workfromhome hack that works for Anshu Budhraja is a short rest in the afternoon.
https://t.co/jdXQOqNKGC",positive,04-27
64,@rahulkanwal @IndiaToday This was definitely a very relevent discussion..lot many new ideas cropped up and listenin… https://t.co/GPnanI7ZRl,positive,04-27
65,"As people #WFH, they resort to excessive #DoomScrolling and cause #Infodemic amongst #Covidiots and #Germaphobes al… https://t.co/7wXGwXHkV0",positive,04-27
66,"RT @ResCom_unimelb: Meet up, skills share and get advice with other researchers and students using #3D printing at our 3D data and printing…",positive,04-27
67,"I wrote a little something about working from home (?) during COVID 19 for @_parlour.

Interesting to see the diver… https://t.co/rtHwnBqBPh",positive,04-27
68,Workshops from @BOMPUoM are open for registration AND open to all - Definitely worthwile for those looking to analy… https://t.co/C2oos9bYtu,positive,04-27
69,@JayWright23 @DanielAndrewsMP His guidance is from the CMO. Spin it as much as you want mate. Schools were always d… https://t.co/DnHiDJh7n1,positive,04-27
70,"🏠 Working from home? If your desk is up against the wall, put some of your favourite things on your desk &amp; pictures… https://t.co/VziFjUCqzP",positive,04-27
71,Guardian multimedia chief @fantrails doing WFH in covert comfort. Send us pics of your bizarre / sneaky home office… https://t.co/yolmqbEi9m,positive,04-27
72,RT @nickcrocker: WFA (Work From Anywhere) feels more optimistic and awesome than WFH.,positive,04-27
73,"Meet up, skills share and get advice with other researchers and students using #3D printing at our 3D data and prin… https://t.co/GVxgh22Ocy",positive,04-27
74,Just lost my shit at my team leader in an email. Happy a Monday! #wfh #covid19,positive,04-27
75,"@bec_h2o Good idea, at a team level it's hard because it hasn't been usual WFH, others have kids etc, not benefitte… https://t.co/EjWmNUgRHN",positive,04-27
76,Today’s blog post looks at the evolving sophistication of #COVID19 themed cyber attacks targeting users #WFH. We re… https://t.co/duzKvNtAkt,positive,04-27
77,"RT @fun_materials: Congratulations Aram Arash, Md Ataur Rahman, and @shruti_nirantar on recent PhD theses submissions! Always a major achie…",positive,04-27
78,"Congratulations Aram Arash, Md Ataur Rahman, and @shruti_nirantar on recent PhD theses submissions! Always a major… https://t.co/MriNmto7Ps",positive,04-27
79,@lalisasss Hindi pa. Wfh hahaha,positive,04-27
80,"When working from home it's important to find time each day for exercise, meditation and self-care practices. Try a… https://t.co/D7bBwBtKYO",positive,04-27
81,WFA (Work From Anywhere) feels more optimistic and awesome than WFH.,positive,04-27
82,Stuff WFH just can't provide https://t.co/gzAXtx8GwY,positive,04-27
83,What is the reality behind your WFH set-up? https://t.co/hLrUxnM5dy,positive,04-27
84,"Has your organisation or leadership handled WFH (the 'during a pandemic' version) well? How so?

Please share your… https://t.co/SPBbCvkpD5",positive,04-27
85,"RT @SAMHC_: Back to work! For some of us that means walking three metres to a table at home. And yes, dogs bark, kids are noisy and toddler…",positive,04-27
86,"Although businesses struggle to maintain continuity in a new remote-work environment, customers expect service as u… https://t.co/4ZYYqCnqSH",positive,04-27
87,@corribaker I teach at University and WFH @ moment to protect my wife. I spend an hour each morning helping her vid… https://t.co/N8Dc9g6mik,positive,04-27
88,$UWL Continues to perform while digesting all its CY19 aquistions. Interested to see how much COVID-19 boosts their… https://t.co/kUtz53Z9zu,positive,04-27
89,"After this whole corona ting, I will never request to WFH again",positive,04-26
90,@chaifrys Wfh hi hai lekin uthna to h na sbha us k liye 😴😝,positive,04-26
91,"Is it fancy? No
Was it expensive? No
Is it better than sitting all day? Yes
#WFH https://t.co/hfllxOvRoh",positive,04-26
92,"RT @Bowmanshome: Watch this best practices #video from @SumoLogic’s #CSO @georgegerchow on why having a small, cross-functional team is imp…",positive,04-26
93,#WFH is seeing the rise of the introverts in meetings where the loudest voice doesn’t necessarily have to most impa… https://t.co/eVS0yfqeTH,positive,04-26
94,"@theotherbrie That’s good. 
I’m personally busy and will be for a while so it doesn’t affect me. I’d like to WFH bu… https://t.co/5izA0BQgNZ",positive,04-26
95,"Watch this best practices #video from @SumoLogic’s #CSO @georgegerchow on why having a small, cross-functional team… https://t.co/K4ES6XzROk",positive,04-26
96,"RT @Scientist_Rhi: If you’re in need of some more comfy clothes for WFH check out LPE! 

For every ten products sold, LPE donates school es…",positive,04-26
97,"RT @SAMHC_: Back to work! For some of us that means walking three metres to a table at home. And yes, dogs bark, kids are noisy and toddler…",positive,04-26
98,getting up later even tho I'm WFH idk how it's going to be when I need to trek it into the office again,positive,04-26
99,"RT @SAPoliceNews: With much of the South Australian workforce currently working from home, cybercriminals look for ways to exploit this sit…",positive,04-26
100,"Try implementing one new remote working tactic each week to promote productivity, team building and employee wellbe… https://t.co/HNcCzs15rB",positive,04-26
101,@MayneReport Love how statement mentions 99% of employees WFM. Pretty sure creating algorithms to stop players from… https://t.co/XMpHcN936P,positive,04-26
102,Day 24 pink houses #colouring #WFH https://t.co/lcdKAIzoI9,positive,04-26
103,Welcome to a new working week in #lockdown #auslaw via #dilbert https://t.co/3l57VIvwgu #wfh,positive,04-26
104,Another good news story from #tomorrowmaker @MichaelTozer's @XceptionalTech to start the week. Congrats Aiden - goo… https://t.co/jjgIU5Rs0d,positive,04-26
105,"There is still time to register for our free, live Positive Leadership Webinar with @Ron_Lesh &amp; @DTramma! 💡🚀

Tomor… https://t.co/djFjuucgHt",positive,04-26
106,@ginblossom Why didn’t I buy more kaftans. Kaftans would have been perfect wfh wear. Instead of five different legg… https://t.co/6TsKsPkBAT,positive,04-26
107,"RT @underthakur: @MandSIndia Tried to #Rethink and went for a casual simple look. What else would #WFH look like for a guy 🤓...

#RethinkWF…",positive,04-26
108,"I hate WFH SO MUCH THAT IM JUST LIKE, oh yeah sorry for being late because i fucking hate wfh",positive,04-26
109,"Raindrops on Tahitian lime tree. Morning all. 

#tmgarden #raindrops #wfh #iso #Covid-19 @ The Entrance, New South… https://t.co/DRBnhO5Tvr",positive,04-26
110,Solid WFH corner office. https://t.co/uXqm2M9ql5,positive,04-26
111,I’m about to log in for work and have an extra 30 minute sleep. WFH perks lol,positive,04-26
112,RT @researchwhisper: The Research Whisperers ( @tseenster / @jod999 ) are guests for the next #virtualnotviral tweetchat on MON 27 April 9A…,positive,04-26
113,RT @janecowell8: Don't let remote leadership bring out the worst in you https://t.co/WHdJ85yYp7 #WFH,positive,04-26
114,"😎 Zoom, Coda, Airtable, these are some of the best #productivitytools while #wfh. 😎

@riojaalejandro listed 16 must… https://t.co/cLfYlMZsw6",positive,04-26
115,"Been using my stand up desk for 12 mins and want to now sit. 
Is that normal? I thought I could stand for quite a while and do this. #wfh",positive,04-26
116,#ridetoworkmelb #melbweather #WFH https://t.co/D1Y49IUcIx,positive,04-26
117,RT @researchwhisper: The Research Whisperers ( @tseenster / @jod999 ) are guests for the next #virtualnotviral tweetchat on MON 27 April 9A…,positive,04-26
118,RT @researchwhisper: The Research Whisperers ( @tseenster / @jod999 ) are guests for the next #virtualnotviral tweetchat on MON 27 April 9A…,positive,04-26
119,"RT @NasscomFS: During unprecedented times like these, most of us are confined, WFH. But every crisis is an opportunity in disguise. Why was…",positive,04-26
120,@alsavero Kalo WFH masih bisa lebih nyantai ya! Nggak perlu commute soalnya. Met tidur lagi deh. Barusan Imsak kan?,positive,04-26
121,@dibyeshanand It's super hard trying to WFH when you're also full-time caring for dependent children. That is going… https://t.co/UIfR8QT9kT,positive,04-26
122,"@RALMCloud is offering a Free Domain Name with any purchase of hosting packages through the month of May. 

Get you… https://t.co/iZFBoeum21",positive,04-26
123,"If you’re in need of some more comfy clothes for WFH check out LPE! 

For every ten products sold, LPE donates scho… https://t.co/W2qy3CByQW",positive,04-26
124,"Do you have staff #WFH?
This is really helpful, #RecommendedReading during #Covid19 #Lockdown 
Thanx for sharing… https://t.co/ieLaf5xx92",positive,04-26
125,"RT @BroHilderchump: For those wondering, my 42yo wife with a chronic lung condition will not be able to WFH.

Official advice she received…",positive,04-26
126,"Ever wondered what goes on behind-the-scenes of a #Vmation animation?

Check out this timelapse of Ben, our senior… https://t.co/QnW4ulfaFR",positive,04-26
127,"Yup, WFH does feel like an accelerated 24x7 on steroids sometimes, but we need to find more sustainable working pat… https://t.co/ldiV1ax8Ld",positive,04-26
128,"@AmazonFashionIn 1. Sweater
2. Shorts
3. Socks
4. Hat
5. Sneakers
6. Shirt 
7. Shoes 
8. Trousers 
9. T-shirt
10. D… https://t.co/ok7tF9dlcB",positive,04-26
129,"Delicious Kachori 
#WFH https://t.co/UrmesQLR6G",positive,04-26
130,"RT @ktripat: @GabbbarSingh I know that's a joke so will take it. But on a serious note, since WFH my work hours have increased.",positive,04-26
131,Checkout 30 free small business apps for managing remote teams in the link below to discover free tools for team co… https://t.co/UChjBtCTzd,positive,04-26
132,@iamsooraj @Jobvo That's fantastic news! We did some outreach recruitment in India late last year and I was surpris… https://t.co/A1HQ8Ki1dL,positive,04-26
133,RT @zilevandamme: German Labour Minister Hubertus Heil is trying to get the right to work-from-home (WFH) into law. https://t.co/zsZSzp92vO,positive,04-26
134,@AbanitaD @greatbong Doubt that if employees get more of their life bk when 5 days week becomes a 7 days wk. Person… https://t.co/YePaWPvwuh,positive,04-26
135,RT @zilevandamme: German Labour Minister Hubertus Heil is trying to get the right to work-from-home (WFH) into law. https://t.co/zsZSzp92vO,positive,04-26
136,"@nelly_sattari I found that when WFH we stay more time sitting down than in the office, hence the back pains.
What… https://t.co/go7wjdBgmm",positive,04-26
137,@MandSIndia Tried to #Rethink and went for a casual simple look. What else would #WFH look like for a guy 🤓...… https://t.co/icrZBq9A12,positive,04-26
138,RT @zilevandamme: German Labour Minister Hubertus Heil is trying to get the right to work-from-home (WFH) into law. https://t.co/zsZSzp92vO,positive,04-26
139,German Labour Minister Hubertus Heil is trying to get the right to work-from-home (WFH) into law. https://t.co/zsZSzp92vO,positive,04-26
140,Ggn: 'No official order on WFH till July-end' https://t.co/cdP0KygfIC https://t.co/IfscWKiZcg,positive,04-26
141,@BrokeLikeKitKat I’m dreading WFH 😭,positive,04-26
142,RT @amyjvassallo: Have my fav #FWonSpotify playlist blasting as I finish preparing this months @FranklinWomen newsletter 🎶👩🏻‍💻. We’re shari…,positive,04-26
143,"RT @RenaisstanceTS: https://t.co/lx1SzbFNpL
Recall the beautiful stories of R.K Narayan's Malgudi with us 📖🙂
#storyreading #storylover #the…",positive,04-26
144,WFH https://t.co/3dbV4h8qnM,positive,04-26
145,"RT @arifkhan7: REMOTE JOBS IN INDIA, 2020: 💻

Starting a thread of work from home (#WFH) jobs in India hiring primarily in the digital mark…",positive,04-26
146,RT @janecowell8: Don't let remote leadership bring out the worst in you https://t.co/WHdJ85yYp7 #WFH,positive,04-26
147,Don't let remote leadership bring out the worst in you https://t.co/WHdJ85yYp7 #WFH,positive,04-26
148,"#lockdown missing #binaryic office days WFH days, also my daughter turns 5 years old yesterday, journey wasn't easy… https://t.co/ioL9B4uVxH",positive,04-26
149,@craigb621 @Magda_Wierzycka Especially now that WFH is a real thing,positive,04-26
150,"J&amp;K: 9 major developments in 10 days amid #coronavirus crisis.

Even mota bhai @AmitShah is on wfh😎

 https://t.co/QdxDH3N2Wl via @PGurus1",positive,04-26
151,"@MandSIndia #WFH 
#Rethink 

Here's my work from home look

 @marksandspencerindia  #RethinkWFHwithMandS https://t.co/VdK192iEe7",positive,04-26
152,"Cegah Penyebaran Covid-19, BBPOM Denpasar Lakukan WFH https://t.co/LhYsM0Es3l lewat @tribunnews",positive,04-26
153,I am capable of doing 10 such surveys in a day on reasonable payment( no lockdown laws broken.. fully WFH) Guarante… https://t.co/1zKkH4zYNk,positive,04-26
154,@romeomustlivee2 No more WFH?,positive,04-26
155,"@MandSIndia My work from home outfit.

#ContestAlert #WFH 
#Rethink @marksandspencerindia  #RethinkWFHwithMandS

Jo… https://t.co/IMbMlkUD7f",positive,04-26
156,RT @toi_RaOj: @diprogurugram1 @DC_Gurugram @Dist_Admin_Ggm @PTI_News @FinancialXpress @MintPressNews @univartaindia2 @ANI @TOIGurgaon @htTw…,positive,04-26
157,"My Tweeted Times Top: Google WFH Orchestra - Excerpt from Jacques Offenbach's Can Can https://t.co/Izz5fuvEbg, see… https://t.co/evb3uiasYe",positive,04-26
158,@anubhavsinha who’re WFH can tell today is #Sunday,positive,04-26
159,@BSNLCorporate kindly let me know if new connections are possible in this time? Facing connectivity issues from mob… https://t.co/BiJzzcRkps,positive,04-26
160,@SumitRa84190440 @CaRohatgi @PTI_News Brother I am asking about those people jinki joining pending hai not about wf… https://t.co/HA81y9QQx6,positive,04-26
161,"RT @YashGoy54892506: @MandSIndia In these days i am making mask by poly bags to distributing to all people who don't have!! 
#ContestAlert…",positive,04-26
162,@MandSIndia In these days i am making mask by poly bags to distributing to all people who don't have!!… https://t.co/wY0BwPW1jD,positive,04-26
163,@join2prashant @CaRohatgi @PTI_News Brother bola gya h companies jitna ho sake utne employees ko  ko wfh krwaye end… https://t.co/OqIGuV1hxC,positive,04-26
164,"@profssancheti @HRDMinistry @DrRPNishank Sir, I'm currently persuing my btech in SRMIST. I was planning to do my fi… https://t.co/1vTFIV5MYs",positive,04-26
165,"@desimojito No, we have work. WFH not vella 🙄",positive,04-26
166,"Kemarin waktu hidup normal normal aja dan aku masih sibuk, sepertinya roomchat kita absurd tapi berkala, giliran di… https://t.co/6C1KmfA1Uk",positive,04-26
167,This is really unexpected from @airtelindia @Airtel_Presence they are asking money again and again and not resolvin… https://t.co/q42Bgs9tPc,positive,04-26
168,"@Tweet2Chayan @Gss_Views Companies ko arrange karna padega, either WFH Or travel pass, may be they will be asked to… https://t.co/QpDk10X44E",positive,04-26
169,VERY IMPORTANT CLARIFICATION ABOUT WFH ADVISORY IN GURGAON. THE @PTI_News story had created panic. https://t.co/tNVCFoOS0B,positive,04-26
170,@airtelindia @Airtel_Presence Can you help me with a 4G dongle? I want to buy it. Please don't try to sell me a Mif… https://t.co/ahAS2fbKlQ,positive,04-26
171,RT @itacecorg: Made with love &amp; #SiyaniSahelian power touch.The incredible ladies of South Punjab are working to meet ever growing need of…,positive,04-26
172,"@AmazonFashionIn 1. Sweater
2. Shorts
3. Socks
4. Hat
5. Sneakers
6. Shirt
7. Shoes
8. Trousers
9. T-shirt
10. Dres… https://t.co/XYY5Z4MUtV",positive,04-26
173,"@AmazonFashionIn 1. Sweater
2. Shorts
3. Socks
4. Hat
5. Sneakers
6. Shirt
7. Shoes
8. Trousers
9. T-shirt
10. Dres… https://t.co/NEw9986wPa",positive,04-26
174,@KumarDineish @vivekagnihotri Tujhe bhi laga tha tu ofc jaega baad mein wfh lag gaya😂😂,positive,04-26
175,"Pre Covid, "" Can i please take a WFH today as i am not well "", My  Manager "" No take a leave""...
During Covid, "" Ca… https://t.co/TLHTj47EtV",positive,04-26
176,"@AmazonFashionIn 1. Dress
2. Shorts
3. Socks
4. T-shirt
5. Sweater
6. Shirt
7. Shoes
8. Trousers
9. Sneakers
10. Ha… https://t.co/sO6cZpwDmH",positive,04-26
177,"Richard Fucking Quest 💚

#WFH",positive,04-26
178,"@AmazonFashionIn 1. Sweater
2. Shorts
3. Socks
4. Hat
5. Sneakers
6. Shirt
7. Shoes
8. Trousers
9. T-shirt
10. Dres… https://t.co/ZyuULG6Pej",positive,04-26
179,"@darshanvmehta1 @contrarianEPS U said true..

WFH ki wajah se personal, life ki esi ki tesi ho gae h..",positive,04-26
180,Is it not so early to seek inputs on WFH' s productivity ? let the same to get settle down n be part of our work cu… https://t.co/kjCwHZarRk,positive,04-26
181,"Work from home mixed with fun from home could make life easy in these days of lockdown!
Here are @BaffleSol employe… https://t.co/dTlTa0Jqgz",positive,04-26
182,"April 26, 2020 https://t.co/EZNoRTYL8m via @YouTube      recently my mama(uncle) restarted writing and reciting… https://t.co/HJ6xAcpt97",positive,04-26
183,"Tips to help the planet, while working from home. #covid19australia #WFH #StayHomeSaveLives  https://t.co/v9GyUWdhti",positive,04-26
184,"Few words often heared in this lockdown; Quarantine, social distancing, VC, WFH, Markaz, PPEs, +/-, zoom, Wuhan, cu… https://t.co/ZB52uqgCYF",positive,04-26
185,Once the #lockdown eases out and appliances retailers start - I am going to buy these two things first - to ease ou… https://t.co/4vXV3cHNJH,positive,04-26
186,RT @WiJungle: #networksecurity #CIO #CISO #enterprises #business #DataSecurity #freetrial #ITsecurity #founder #startup #startups #CXO #WFH…,positive,04-26
187,RT @WiJungle: #networksecurity #CIO #CISO #enterprises #business #DataSecurity #freetrial #ITsecurity #founder #startup #startups #CXO #WFH…,positive,04-26
188,"Manish Singh feels that having a dedicated work area in the house helps to focus better.

#lockdown #wfh #covid… https://t.co/KKG7SFvBDM",positive,04-26
189,"@narendramodi Sir, My Internet is down since 1 week. @youbroadband is not responding. You want us to stay home but… https://t.co/rbdjQPPquL",negative,04-26
190,Kal se fir wahi #WFH !! I’m having Sunday evening blues!! ☹️☹️,negative,04-26
191,RT @Omkar_Raii: The #IT behemoth @TCS planning to bring disruptive changes in #WFH culture targeting only 25% workforce to be in office by…,negative,04-26
192,"RT @Zakka_Jacob: A day in the life of @CNNnews18 reporters. 

#WFH is not as easy as you think. 

.@CNNnews18 is always family, but this st…",negative,04-26
193,"RT @RenaisstanceTS: https://t.co/lx1SzbFNpL
Recall the beautiful stories of R.K Narayan's Malgudi with us 📖🙂
#storyreading #storylover #the…",negative,04-26
194,"Gurgaon MNCs, BPOs, ITeS offices may have to WFH till July end:Official https://t.co/8QXsH1kuEU via @economictimes",negative,04-26
195,@tinyspeckofkel After being an essential worker for the first two weeks of lockdown I then moved to WFH. Hate it. I like my workmates.,negative,04-26
196,RT @jrakesh: This is a daily special broadcast live from home #WFH We @CNNnews18 are doing our job to ensure that the latest developments r…,negative,04-26
197,@byford_ian @toryboypierce Testing already happening for key workers/household &amp; app is live to book for testing. N… https://t.co/OrnEAJfOSZ,negative,04-26
198,@Helodare we've had a few trips to the supermarket/pharmacy/post office and one run to Bunnings/Officeworks to get… https://t.co/zpf1z4apEn,negative,04-26
199,"@theheraldsun Yes Dolt, you can go to the beach, and as you’re so much against it, are you in ISO and WFH ? If you… https://t.co/Bra9k5cFeg",positive,04-26
200,"RT @VWedhaswari: @efenerr ☝🏻skrg punya 2 kolega org vietnam, Dr 2 company yg berbeda. Sama2 rajin&amp;cepet. Waktu belum official wfh (udah bol…",positive,04-26
201,May June July WFH too? 😳 https://t.co/s8dUKYreMe,positive,04-26
202,@black_bandi @OhTeri_ Wfh means no boundaries apparently. 30 min meeting goes for 1 hr and the one talking doesn’t want to stop,positive,04-26
203,"orang wfh pada colab, gitar2an nyanyi2 main piano, tiktokan. ane mau posting2 juga tapi saban hari vidcon sm ngerjain materi 😩",positive,04-26
204,"RT @BSNL_GJ: We at #BSNL stay committed to serve you during these difficult times.
Our lockdown Warriors attending OFC Fault at Surangi BTS…",positive,04-26
205,"https://t.co/lx1SzbFNpL
Recall the beautiful stories of R.K Narayan's Malgudi with us 📖🙂
#storyreading #storylover… https://t.co/aV6tHI1z5f",positive,04-26
206,"RT @j_mylne: So glad to finally launch our new website (still at https://t.co/75tj5HqcgH) to a new, responsive shell. It's been on the to-d…",positive,04-26
207,"@efenerr ☝🏻skrg punya 2 kolega org vietnam, Dr 2 company yg berbeda. Sama2 rajin&amp;cepet. Waktu belum official wfh (u… https://t.co/F1zjKGMdJi",positive,04-26
208,@MahimaShastri It's a culture that's called SOHO small office home office introduced in US later a trial in India b… https://t.co/iNEEJBIsoJ,positive,04-26
209,"RT @NasscomFS: During unprecedented times like these, most of us are confined, WFH. But every crisis is an opportunity in disguise. Why was…",positive,04-26
210,"Gurugram MNCs may have to work from home till July end, some real estate projects can resume work: Official #WFH #Covid_19",positive,04-26
211,"RT @rk24040: @AmazonFashionIn 1. Sweater
2. Shorts
3. Socks
4. Hat
5. Sneakers
6. Shirt 
7. Shoes 
8. Trousers 
9. T-shirt
10. Dress
.
.

#…",positive,04-26
212,"@AmazonFashionIn 1. Sweater
2. Shorts
3. Socks
4. Hat
5. Sneakers
6. Shirt 
7. Shoes 
8. Trousers 
9. T-shirt
10. D… https://t.co/XqP8yCgjkv",positive,04-26
